latitude,longitude
37.2889629,127.1075165
37.288963200000005,127.1075155
37.2889634,127.1075145
37.2889636,127.1075134
37.2889639,127.1075124
37.288964400000005,127.10751
37.2889646,127.1075088
37.2889649,127.1075075
37.2889652,127.1075064
37.2889656,127.1075053
37.2889659,127.1075043
37.2889661,127.1075034
37.2889663,127.1075024
37.2889664,127.1075013
37.2889668,127.1075003
37.2889671,127.1074993
37.2889675,127.1074982
37.2889679,127.1074971
37.2889683,127.107496
37.2889686,127.107495
37.288969,127.107494
37.2889694,127.1074932
37.2889697,127.1074923
37.28897,127.1074914
37.288970500000005,127.1074893
37.2889708,127.1074881
37.2889709,127.1074871
37.288971100000005,127.1074861
37.2889714,127.107485
37.288971700000005,127.1074837
37.288972,127.1074826
37.2889724,127.1074816
37.288972900000005,127.1074806
37.2889733,127.1074796
37.2889737,127.1074787
37.288974,127.1074776
37.2889743,127.1074765
37.2889746,127.1074753
37.2889747,127.107474
37.2889749,127.1074729
37.2889753,127.1074717
37.2889755,127.1074705
37.2889759,127.1074693
37.2889767,127.1074671
37.288977,127.107466
37.2889775,127.1074638
37.288977800000005,127.1074626
37.288978,127.1074615
37.2889782,127.1074604
37.288978400000005,127.1074593
37.2889788,127.1074582
37.2889795,127.107456
37.2889799,127.1074548
37.2889803,127.1074537
37.2889807,127.1074526
37.2889811,127.1074516
37.2889814,127.1074505
37.2889816,127.1074493
37.2889819,127.1074482
37.2889822,127.1074471
37.2889827,127.1074449
37.288983,127.1074438
37.2889833,127.1074426
37.2889836,127.1074415
37.288984,127.1074404
37.2889843,127.1074393
37.2889847,127.1074382
37.288985,127.1074371
37.288985100000005,127.1074359
37.2889854,127.1074336
37.2889856,127.1074325
37.2889858,127.1074312
37.2889862,127.10743
37.2889865,127.1074289
37.2889868,127.1074279
37.2889872,127.1074268
37.2889874,127.1074258
37.2889877,127.1074249
37.288988,127.1074228
37.2889883,127.1074217
37.2889885,127.1074207
37.2889888,127.1074195
