seq,llatitude,longitude,llatitude_utm,longitude_utm,option
1819,35.913913,128.8035337,482273.7239,3974418.042,0
1822,35.9139103,128.8035298,482273.3715,3974417.743,0
1825,35.9139083,128.8035253,482272.965,3974417.522,0
1828,35.913907,128.8035204,482272.5226,3974417.379,0
1831,35.9139065,128.8035154,482272.0714,3974417.325,0
1834,35.9139068,128.8035103,482271.6113,3974417.359,0
1837,35.9139079,128.8035052,482271.1514,3974417.482,0
1840,35.9139098,128.8035004,482270.7187,3974417.693,0
1843,35.9139123,128.803496,482270.3223,3974417.971,0
1846,35.9139154,128.8034923,482269.9891,3974418.316,0
1849,35.9139187,128.8034886,482269.656,3974418.683,0
1852,35.9139223,128.8034859,482269.4132,3974419.082,0
1855,35.9139263,128.8034842,482269.2607,3974419.526,0
1858,35.9139305,128.8034837,482269.2166,3974419.992,0
1861,35.9139348,128.803484,482269.2446,3974420.469,0
1864,35.9139392,128.8034849,482269.3268,3974420.957,0
1867,35.9139434,128.8034853,482269.3638,3974421.423,0
1870,35.9139474,128.8034846,482269.3015,3974421.866,0
1873,35.9139509,128.8034831,482269.167,3974422.255,0
1876,35.913954,128.8034808,482268.9602,3974422.599,0
1879,35.9139568,128.8034778,482268.6901,3974422.91,0
1882,35.9139594,128.8034743,482268.3749,3974423.199,0
1885,35.9139622,128.8034707,482268.0507,3974423.511,0
1888,35.9139649,128.803467,482267.7175,3974423.811,0
1891,35.9139678,128.8034632,482267.3753,3974424.133,0
1894,35.9139707,128.8034594,482267.0331,3974424.455,0
1897,35.9139736,128.8034554,482266.6728,3974424.778,0
1900,35.9139765,128.8034515,482266.3216,3974425.1,0
1903,35.9139794,128.8034478,482265.9884,3974425.422,0
1906,35.9139822,128.8034438,482265.6281,3974425.734,0
1909,35.9139849,128.8034398,482265.2678,3974426.034,0
1912,35.9139877,128.8034359,482264.9166,3974426.345,0
1915,35.9139903,128.8034319,482264.5562,3974426.634,0
1918,35.913993,128.8034279,482264.1959,3974426.934,0
1921,35.9139957,128.8034239,482263.8356,3974427.235,0
1924,35.9139984,128.8034198,482263.4663,3974427.535,0
1927,35.9140011,128.8034157,482263.097,3974427.835,0
1930,35.9140036,128.8034117,482262.7366,3974428.113,0
1934,35.9140061,128.8034082,482262.4214,3974428.391,0
1941,35.9140085,128.8034044,482262.0791,3974428.658,0
1947,35.9140108,128.8034007,482261.7458,3974428.914,8
1974,35.9140083,128.8034048,482262.1151,3974428.636,1
1981,35.9140066,128.8034089,482262.4847,3974428.446,1
1987,35.9140056,128.8034132,482262.8724,3974428.335,1
1993,35.9140051,128.8034177,482263.2783,3974428.278,1
2017,35.9140047,128.8034222,482263.6843,3974428.233,1
